Vivado Simulator 2020.2
Time resolution is 1 ps
[695000] Count:           1 Conv_Debug = 0000
[705000] Count:           2 Conv_Debug = 0000
[715000] Count:           3 Conv_Debug = 0000
[725000] Count:           4 Conv_Debug = 0000
[735000] Count:           5 Conv_Debug = 0000
[745000] Count:           6 Conv_Debug = 0000
[755000] Count:           7 Conv_Debug = 0000
[765000] Count:           8 Conv_Debug = 0000
[775000] Count:           9 Conv_Debug = 0000
[785000] Count:          10 Conv_Debug = 0000
[795000] Count:          11 Conv_Debug = 0000
[805000] Count:          12 Conv_Debug = 0000
[815000] Count:          13 Conv_Debug = 0000
[825000] Count:          14 Conv_Debug = 0000
[835000] Count:          15 Conv_Debug = 0000
[845000] Count:          16 Conv_Debug = 0000
[855000] Count:          17 Conv_Debug = 0000
[865000] Count:          18 Conv_Debug = 0000
[875000] Count:          19 Conv_Debug = 0000
[885000] Count:          20 Conv_Debug = 0000
[895000] Count:          21 Conv_Debug = 0000
[905000] Count:          22 Conv_Debug = 0000
[915000] Count:          23 Conv_Debug = 0000
[925000] Count:          24 Conv_Debug = 0000
[935000] Count:          25 Conv_Debug = 0000
[945000] Count:          26 Conv_Debug = 0000
[975000] Count:          27 Conv_Debug = 0000
[985000] Count:          28 Conv_Debug = 0000
[995000] Count:          29 Conv_Debug = 0000
[1005000] Count:          30 Conv_Debug = 0000
[1015000] Count:          31 Conv_Debug = 0000
[1025000] Count:          32 Conv_Debug = 0000
[1025000] Count:           1 Maxpool_Debug = 0000
[1035000] Count:          33 Conv_Debug = 0000
[1045000] Count:          34 Conv_Debug = 0000
[1045000] Count:           2 Maxpool_Debug = 0000
[1055000] Count:          35 Conv_Debug = 0000
[1065000] Count:          36 Conv_Debug = 0000
[1065000] Count:           3 Maxpool_Debug = 0000
[1075000] Count:          37 Conv_Debug = 0000
[1085000] Count:          38 Conv_Debug = 0000
[1085000] Count:           4 Maxpool_Debug = 0000
[1095000] Count:          39 Conv_Debug = 0000
[1105000] Count:          40 Conv_Debug = 0000
[1105000] Count:           5 Maxpool_Debug = 0000
[1115000] Count:          41 Conv_Debug = 0000
[1125000] Count:          42 Conv_Debug = 0000
[1125000] Count:           6 Maxpool_Debug = 0000
[1135000] Count:          43 Conv_Debug = 0000
[1145000] Count:          44 Conv_Debug = 0000
[1145000] Count:           7 Maxpool_Debug = 0000
[1155000] Count:          45 Conv_Debug = 0000
[1165000] Count:          46 Conv_Debug = 0000
[1165000] Count:           8 Maxpool_Debug = 0000
[1175000] Count:          47 Conv_Debug = 0000
[1185000] Count:          48 Conv_Debug = 0000
[1185000] Count:           9 Maxpool_Debug = 0000
[1195000] Count:          49 Conv_Debug = 0000
[1205000] Count:          50 Conv_Debug = 0000
[1205000] Count:          10 Maxpool_Debug = 0000
[1215000] Count:          51 Conv_Debug = 0000
[1225000] Count:          52 Conv_Debug = 0000
[1225000] Count:          11 Maxpool_Debug = 0000
[1245000] Count:          12 Maxpool_Debug = 0000
[1255000] Count:          53 Conv_Debug = 0000
[1265000] Count:          54 Conv_Debug = 0000
[1265000] Count:          13 Maxpool_Debug = 0000
[1275000] Count:          55 Conv_Debug = 0000
[1285000] Count:          56 Conv_Debug = 0000
[1295000] Count:          57 Conv_Debug = 0000
[1305000] Count:          58 Conv_Debug = 0000
[1315000] Count:          59 Conv_Debug = 0000
[1325000] Count:          60 Conv_Debug = 0000
[1335000] Count:          61 Conv_Debug = 0000
[1345000] Count:          62 Conv_Debug = 0000
[1355000] Count:          63 Conv_Debug = 0000
[1365000] Count:          64 Conv_Debug = 0000
[1375000] Count:          65 Conv_Debug = 0000
[1385000] Count:          66 Conv_Debug = 0000
[1395000] Count:          67 Conv_Debug = 0000
[1405000] Count:          68 Conv_Debug = 0000
[1415000] Count:          69 Conv_Debug = 0000
[1425000] Count:          70 Conv_Debug = 0000
[1435000] Count:          71 Conv_Debug = 0000
[1445000] Count:          72 Conv_Debug = 0000
[1455000] Count:          73 Conv_Debug = 0000
[1465000] Count:          74 Conv_Debug = 0000
[1475000] Count:          75 Conv_Debug = 0000
[1485000] Count:          76 Conv_Debug = 0000
[1495000] Count:          77 Conv_Debug = 0000
[1505000] Count:          78 Conv_Debug = 0000
[1535000] Count:          79 Conv_Debug = 0000
[1545000] Count:          80 Conv_Debug = 0000
[1555000] Count:          81 Conv_Debug = 0000
[1565000] Count:          82 Conv_Debug = 0000
[1575000] Count:          83 Conv_Debug = 0000
[1585000] Count:          84 Conv_Debug = 0000
[1585000] Count:          14 Maxpool_Debug = 0000
[1595000] Count:          85 Conv_Debug = 0000
[1605000] Count:          86 Conv_Debug = 0000
[1605000] Count:          15 Maxpool_Debug = 0000
[1615000] Count:          87 Conv_Debug = 0000
[1625000] Count:          88 Conv_Debug = 0000
[1625000] Count:          16 Maxpool_Debug = 0000
[1635000] Count:          89 Conv_Debug = 0000
[1645000] Count:          90 Conv_Debug = 0000
[1645000] Count:          17 Maxpool_Debug = 0000
[1655000] Count:          91 Conv_Debug = 0000
[1665000] Count:          92 Conv_Debug = 0000
[1665000] Count:          18 Maxpool_Debug = 0000
[1675000] Count:          93 Conv_Debug = 0000
[1685000] Count:          94 Conv_Debug = 0000
[1685000] Count:          19 Maxpool_Debug = 0000
[1695000] Count:          95 Conv_Debug = 0000
[1705000] Count:          96 Conv_Debug = 0000
[1705000] Count:          20 Maxpool_Debug = 0000
[1715000] Count:          97 Conv_Debug = 0000
[1725000] Count:          98 Conv_Debug = 0000
[1725000] Count:          21 Maxpool_Debug = 0000
[1735000] Count:          99 Conv_Debug = 0000
[1745000] Count:         100 Conv_Debug = 0000
[1745000] Count:          22 Maxpool_Debug = 0000
[1755000] Count:         101 Conv_Debug = 0000
[1765000] Count:         102 Conv_Debug = 0000
[1765000] Count:          23 Maxpool_Debug = 0000
[1775000] Count:         103 Conv_Debug = 0000
[1785000] Count:         104 Conv_Debug = 0000
[1785000] Count:          24 Maxpool_Debug = 0000
[1805000] Count:          25 Maxpool_Debug = 0000
[1815000] Count:         105 Conv_Debug = 0000
[1825000] Count:         106 Conv_Debug = 0000
[1825000] Count:          26 Maxpool_Debug = 0000
[1835000] Count:         107 Conv_Debug = 0000
[1845000] Count:         108 Conv_Debug = 0000
[1855000] Count:         109 Conv_Debug = 0000
[1865000] Count:         110 Conv_Debug = 0118
[1875000] Count:         111 Conv_Debug = 0b25
[1885000] Count:         112 Conv_Debug = 0bf5
[1895000] Count:         113 Conv_Debug = 0cfe
[1905000] Count:         114 Conv_Debug = 0c4a
[1915000] Count:         115 Conv_Debug = 0be6
[1925000] Count:         116 Conv_Debug = 0b83
[1935000] Count:         117 Conv_Debug = 0ab8
[1945000] Count:         118 Conv_Debug = 0a7a
[1955000] Count:         119 Conv_Debug = 09a1
[1965000] Count:         120 Conv_Debug = 08d1
[1975000] Count:         121 Conv_Debug = 0795
[1985000] Count:         122 Conv_Debug = 0301
[1995000] Count:         123 Conv_Debug = 0000
[2005000] Count:         124 Conv_Debug = 0000
[2015000] Count:         125 Conv_Debug = 0000
[2025000] Count:         126 Conv_Debug = 0000
[2035000] Count:         127 Conv_Debug = 0000
[2045000] Count:         128 Conv_Debug = 0000
[2055000] Count:         129 Conv_Debug = 0000
[2065000] Count:         130 Conv_Debug = 0000
[2095000] Count:         131 Conv_Debug = 0000
[2105000] Count:         132 Conv_Debug = 0000
[2115000] Count:         133 Conv_Debug = 0000
[2125000] Count:         134 Conv_Debug = 0000
[2135000] Count:         135 Conv_Debug = 005f
[2145000] Count:         136 Conv_Debug = 0b9a
[2145000] Count:          27 Maxpool_Debug = 0000
[2155000] Count:         137 Conv_Debug = 1253
[2165000] Count:         138 Conv_Debug = 0fb3
[2165000] Count:          28 Maxpool_Debug = 0000
[2175000] Count:         139 Conv_Debug = 10b8
[2185000] Count:         140 Conv_Debug = 123b
[2185000] Count:          29 Maxpool_Debug = 0b9a
[2195000] Count:         141 Conv_Debug = 1264
[2205000] Count:         142 Conv_Debug = 12ce
[2205000] Count:          30 Maxpool_Debug = 1253
[2215000] Count:         143 Conv_Debug = 1364
[2225000] Count:         144 Conv_Debug = 13ad
[2225000] Count:          31 Maxpool_Debug = 123b
[2235000] Count:         145 Conv_Debug = 1483
[2245000] Count:         146 Conv_Debug = 1526
[2245000] Count:          32 Maxpool_Debug = 12ce
[2255000] Count:         147 Conv_Debug = 15ff
[2265000] Count:         148 Conv_Debug = 0fae
[2265000] Count:          33 Maxpool_Debug = 13ad
[2275000] Count:         149 Conv_Debug = 0000
[2285000] Count:         150 Conv_Debug = 0000
[2285000] Count:          34 Maxpool_Debug = 1526
[2295000] Count:         151 Conv_Debug = 0000
[2305000] Count:         152 Conv_Debug = 0000
[2305000] Count:          35 Maxpool_Debug = 15ff
[2315000] Count:         153 Conv_Debug = 0000
[2325000] Count:         154 Conv_Debug = 0000
[2325000] Count:          36 Maxpool_Debug = 0000
[2335000] Count:         155 Conv_Debug = 0000
[2345000] Count:         156 Conv_Debug = 0000
[2345000] Count:          37 Maxpool_Debug = 0000
[2365000] Count:          38 Maxpool_Debug = 0000
[2375000] Count:         157 Conv_Debug = 0000
[2385000] Count:         158 Conv_Debug = 0000
[2385000] Count:          39 Maxpool_Debug = 0000
[2395000] Count:         159 Conv_Debug = 0000
[2405000] Count:         160 Conv_Debug = 0000
[2415000] Count:         161 Conv_Debug = 032c
[2425000] Count:         162 Conv_Debug = 10aa
[2435000] Count:         163 Conv_Debug = 0ddb
[2445000] Count:         164 Conv_Debug = 0499
[2455000] Count:         165 Conv_Debug = 0311
[2465000] Count:         166 Conv_Debug = 041e
[2475000] Count:         167 Conv_Debug = 0421
[2485000] Count:         168 Conv_Debug = 0482
[2495000] Count:         169 Conv_Debug = 04da
[2505000] Count:         170 Conv_Debug = 050d
[2515000] Count:         171 Conv_Debug = 059f
[2525000] Count:         172 Conv_Debug = 0615
[2535000] Count:         173 Conv_Debug = 069c
[2545000] Count:         174 Conv_Debug = 02b1
[2555000] Count:         175 Conv_Debug = 0000
[2565000] Count:         176 Conv_Debug = 0000
[2575000] Count:         177 Conv_Debug = 0000
[2585000] Count:         178 Conv_Debug = 0000
[2595000] Count:         179 Conv_Debug = 0000
[2605000] Count:         180 Conv_Debug = 0000
[2615000] Count:         181 Conv_Debug = 0000
[2625000] Count:         182 Conv_Debug = 0000
[2655000] Count:         183 Conv_Debug = 0000
[2665000] Count:         184 Conv_Debug = 0000
[2675000] Count:         185 Conv_Debug = 0000
[2685000] Count:         186 Conv_Debug = 0000
[2695000] Count:         187 Conv_Debug = 0378
[2705000] Count:         188 Conv_Debug = 10a4
[2705000] Count:          40 Maxpool_Debug = 0000
[2715000] Count:         189 Conv_Debug = 0a6e
[2725000] Count:         190 Conv_Debug = 0000
[2725000] Count:          41 Maxpool_Debug = 0000
[2735000] Count:         191 Conv_Debug = 0000
[2745000] Count:         192 Conv_Debug = 0000
[2745000] Count:          42 Maxpool_Debug = 10aa
[2755000] Count:         193 Conv_Debug = 0000
[2765000] Count:         194 Conv_Debug = 0000
[2765000] Count:          43 Maxpool_Debug = 0ddb
[2775000] Count:         195 Conv_Debug = 0000
[2785000] Count:         196 Conv_Debug = 0000
[2785000] Count:          44 Maxpool_Debug = 041e
[2795000] Count:         197 Conv_Debug = 0000
[2805000] Count:         198 Conv_Debug = 0000
[2805000] Count:          45 Maxpool_Debug = 0482
[2815000] Count:         199 Conv_Debug = 0000
[2825000] Count:         200 Conv_Debug = 0000
[2825000] Count:          46 Maxpool_Debug = 050d
[2835000] Count:         201 Conv_Debug = 0000
[2845000] Count:         202 Conv_Debug = 0000
[2845000] Count:          47 Maxpool_Debug = 0615
[2855000] Count:         203 Conv_Debug = 0000
[2865000] Count:         204 Conv_Debug = 0000
